"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.29 HS50, MS3, IMU Together.CR1X","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-27 08:43:27.55",87,0,0,0,0,0,0
"2023-05-27 08:43:27.6",88,0,0,0,0,0,0
"2023-05-27 08:43:27.65",89,0,0,0,0,0,0
"2023-05-27 08:43:27.7",90,0,0,0,0,0,0
"2023-05-27 08:43:27.75",91,0,0,0,0,0,0
"2023-05-27 08:43:27.8",92,0,0,0,0,0,0
"2023-05-27 08:43:27.85",93,0,0,0,0,0,0
"2023-05-27 08:43:27.9",94,0,0,0,0,0,0
"2023-05-27 08:43:27.95",95,0,0,0,0,0,0
"2023-05-27 08:43:28",96,0,0,0,0,0,0
"2023-05-27 08:43:28.05",97,0,0,0,0,0,0
"2023-05-27 08:43:28.1",98,0,0,0,0,0,0
"2023-05-27 08:43:28.15",99,0,0,0,0,0,0
"2023-05-27 08:43:28.2",100,0,0,0,0,0,0
"2023-05-27 08:43:28.25",101,0,0,0,0,0,0
"2023-05-27 08:43:28.3",102,0,0,0,0,0,0
"2023-05-27 08:43:28.35",103,0,0,0,0,0,0
"2023-05-27 08:43:28.4",104,0,0,0,0,0,0
"2023-05-27 08:43:28.45",105,0,0,0,0,0,0
"2023-05-27 08:43:28.5",106,0,0,0,0,0,0
"2023-05-27 08:43:28.55",107,0,0,0,0,0,0
"2023-05-27 08:43:28.6",108,0,0,0,0,0,0
"2023-05-27 08:43:28.65",109,0,0,0,0,0,0
"2023-05-27 08:43:28.7",110,0,0,0,0,0,0
"2023-05-27 08:43:28.75",111,0,0,0,0,0,0
"2023-05-27 08:43:28.8",112,0,0,0,0,0,0
"2023-05-27 08:43:28.85",113,0,0,0,0,0,0
"2023-05-27 08:43:28.9",114,0,0,0,0,0,0
"2023-05-27 08:43:28.95",115,0,0,0,0,0,0
"2023-05-27 08:43:29",116,0,0,0,0,0,0
"2023-05-27 08:43:29.05",117,0,0,0,0,0,0
"2023-05-27 08:43:29.1",118,0,0,0,0,0,0
"2023-05-27 08:43:29.15",119,0,0,0,0,0,0
