"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","PAR_atmo"
"TIMESTAMP","RECORD","PAR_atmo_Den","PAR_atmo_Tot"
"TS","RN","umol/s/m^2","umol/m^2"
"","","Smp","Smp"
"2023-05-30 07:08:20",46257,629.2246,3.146123
"2023-05-30 07:08:25",46258,630.9479,3.15474
"2023-05-30 07:08:30",46259,632.9449,3.164725
"2023-05-30 07:08:35",46260,635.0536,3.175268
"2023-05-30 07:08:40",46261,637.3879,3.18694
"2023-05-30 07:08:45",46262,640.2319,3.20116
"2023-05-30 07:08:50",46263,642.7305,3.213653
"2023-05-30 07:08:55",46264,645.7907,3.228954
"2023-05-30 07:09:00",46265,649.4524,3.247262
"2023-05-30 07:09:05",46266,652.8096,3.264048
"2023-05-30 07:09:10",46267,656.7233,3.283617
"2023-05-30 07:09:15",46268,660.6778,3.30339
"2023-05-30 07:09:20",46269,664.7988,3.323994
"2023-05-30 07:09:25",46270,669.1644,3.345822
"2023-05-30 07:09:30",46271,673.8786,3.369393
"2023-05-30 07:09:35",46272,678.4541,3.392271
"2023-05-30 07:09:40",46273,683.2295,3.416148
"2023-05-30 07:09:45",46274,688.0829,3.440415
"2023-05-30 07:09:50",46275,693.3681,3.46684
"2023-05-30 07:09:55",46276,698.322,3.49161
"2023-05-30 07:10:00",46277,703.6495,3.518248
"2023-05-30 07:10:05",46278,709.3968,3.546984
"2023-05-30 07:10:10",46279,715.131,3.575656
"2023-05-30 07:10:15",46280,721.6932,3.608466
"2023-05-30 07:10:20",46281,729.4066,3.647034
"2023-05-30 07:10:25",46282,737.8881,3.689441
"2023-05-30 07:10:30",46283,746.547,3.732735
"2023-05-30 07:10:35",46284,754.5542,3.772771
"2023-05-30 07:10:40",46285,762.0547,3.810274
"2023-05-30 07:10:45",46286,769.5519,3.84776
"2023-05-30 07:10:50",46287,777.1078,3.885539
"2023-05-30 07:10:55",46288,784.4562,3.922282
"2023-05-30 07:11:00",46289,792.2872,3.961436
"2023-05-30 07:11:05",46290,800.055,4.000275
"2023-05-30 07:11:10",46291,808.5879,4.04294
"2023-05-30 07:11:15",46292,816.7084,4.083543
"2023-05-30 07:11:20",46293,824.6202,4.123101
"2023-05-30 07:11:25",46294,832.2338,4.161169
"2023-05-30 07:11:30",46295,839.6404,4.198203
"2023-05-30 07:11:35",46296,845.8716,4.229358
"2023-05-30 07:11:40",46297,850.5936,4.252969
"2023-05-30 07:11:45",46298,854.0246,4.270124
"2023-05-30 07:11:50",46299,857.2384,4.286192
"2023-05-30 07:11:55",46300,860.1642,4.300821
"2023-05-30 07:12:00",46301,863.4218,4.31711
"2023-05-30 07:12:05",46302,865.9514,4.329757
"2023-05-30 07:12:10",46303,868.0312,4.340156
"2023-05-30 07:12:15",46304,869.98,4.3499
"2023-05-30 07:12:20",46305,872.1044,4.360522
"2023-05-30 07:12:25",46306,875.0707,4.375354
"2023-05-30 07:12:30",46307,878.4012,4.392006
"2023-05-30 07:12:35",46308,882.3606,4.411803
"2023-05-30 07:12:40",46309,885.8926,4.429463
"2023-05-30 07:12:45",46310,889.0476,4.445238
"2023-05-30 07:12:50",46311,891.3078,4.45654
"2023-05-30 07:12:55",46312,892.265,4.461325
"2023-05-30 07:13:00",46313,892.6396,4.463198
"2023-05-30 07:13:05",46314,892.3114,4.461558
"2023-05-30 07:13:10",46315,891.5133,4.457566
"2023-05-30 07:13:15",46316,891.4826,4.457414
"2023-05-30 07:13:20",46317,892.4764,4.462382
"2023-05-30 07:13:25",46318,894.8466,4.474234
"2023-05-30 07:13:30",46319,897.4238,4.487119
"2023-05-30 07:13:35",46320,900.8461,4.504231
"2023-05-30 07:13:40",46321,904.7262,4.523631
"2023-05-30 07:13:45",46322,909.101,4.545505
"2023-05-30 07:13:50",46323,914.0135,4.570068
"2023-05-30 07:13:55",46324,919.1433,4.595717
"2023-05-30 07:14:00",46325,924.763,4.623815
"2023-05-30 07:14:05",46326,930.1717,4.650859
"2023-05-30 07:14:10",46327,936.0357,4.680179
"2023-05-30 07:14:15",46328,941.1388,4.705695
"2023-05-30 07:14:20",46329,945.5369,4.727684
"2023-05-30 07:14:25",46330,949.5874,4.747937
"2023-05-30 07:14:30",46331,954.0214,4.770107
"2023-05-30 07:14:35",46332,958.2081,4.79104
"2023-05-30 07:14:40",46333,961.5711,4.807856
"2023-05-30 07:14:45",46334,964.5531,4.822766
"2023-05-30 07:14:50",46335,966.1435,4.830718
"2023-05-30 07:14:55",46336,968.1049,4.840525
"2023-05-30 07:15:00",46337,969.2428,4.846214
"2023-05-30 07:15:05",46338,970.6073,4.853037
"2023-05-30 07:15:10",46339,971.6869,4.858435
"2023-05-30 07:15:15",46340,972.9074,4.864537
"2023-05-30 07:15:20",46341,974.369,4.871845
"2023-05-30 07:15:25",46342,975.239,4.876196
"2023-05-30 07:15:30",46343,976.3121,4.881561
"2023-05-30 07:15:35",46344,977.2104,4.886052
"2023-05-30 07:15:40",46345,978.4131,4.892066
"2023-05-30 07:15:45",46346,979.227,4.896136
"2023-05-30 07:15:50",46347,979.9367,4.899684
"2023-05-30 07:15:55",46348,980.4805,4.902403
"2023-05-30 07:16:00",46349,980.8796,4.904398
"2023-05-30 07:16:05",46350,981.0366,4.905183
"2023-05-30 07:16:10",46351,980.3876,4.901938
"2023-05-30 07:16:15",46352,979.0307,4.895154
"2023-05-30 07:16:20",46353,977.4626,4.887313
"2023-05-30 07:16:25",46354,975.8598,4.8793
"2023-05-30 07:16:30",46355,974.3966,4.871983
"2023-05-30 07:16:35",46356,973.5107,4.867554
"2023-05-30 07:16:40",46357,972.6018,4.86301
"2023-05-30 07:16:45",46358,972.112,4.86056
"2023-05-30 07:16:50",46359,971.8267,4.859134
"2023-05-30 07:16:55",46360,971.3099,4.85655
"2023-05-30 07:17:00",46361,970.1522,4.850762
"2023-05-30 07:17:05",46362,968.4453,4.842226
"2023-05-30 07:17:10",46363,966.7134,4.833567
"2023-05-30 07:17:15",46364,964.5583,4.822792
"2023-05-30 07:17:20",46365,962.9307,4.814654
"2023-05-30 07:17:25",46366,962.1916,4.810958
"2023-05-30 07:17:30",46367,962.6808,4.813404
"2023-05-30 07:17:35",46368,963.2125,4.816063
"2023-05-30 07:17:40",46369,964.1744,4.820873
"2023-05-30 07:17:45",46370,964.2845,4.821422
"2023-05-30 07:17:50",46371,963.9476,4.819738
"2023-05-30 07:17:55",46372,962.9002,4.814502
"2023-05-30 07:18:00",46373,961.4822,4.807412
"2023-05-30 07:18:05",46374,959.0824,4.795412
"2023-05-30 07:18:10",46375,956.2724,4.781362
"2023-05-30 07:18:15",46376,953.9581,4.769791
"2023-05-30 07:18:20",46377,952.6362,4.763181
"2023-05-30 07:18:25",46378,951.7834,4.758917
"2023-05-30 07:18:30",46379,952.2011,4.761006
"2023-05-30 07:18:35",46380,953.5258,4.76763
"2023-05-30 07:18:40",46381,955.1746,4.775874
"2023-05-30 07:18:45",46382,957.6564,4.788282
"2023-05-30 07:18:50",46383,960.1345,4.800672
"2023-05-30 07:18:55",46384,962.7409,4.813704
"2023-05-30 07:19:00",46385,966.267,4.831336
"2023-05-30 07:19:05",46386,969.7318,4.84866
"2023-05-30 07:19:10",46387,973.1686,4.865843
"2023-05-30 07:19:15",46388,976.419,4.882095
"2023-05-30 07:19:20",46389,978.8449,4.894225
"2023-05-30 07:19:25",46390,981.0083,4.905042
"2023-05-30 07:19:30",46391,982.761,4.913806
"2023-05-30 07:19:35",46392,984.0766,4.920384
"2023-05-30 07:19:40",46393,985.2331,4.926166
"2023-05-30 07:19:45",46394,986.4374,4.932187
"2023-05-30 07:19:50",46395,988.1059,4.94053
"2023-05-30 07:19:55",46396,990.2972,4.951486
"2023-05-30 07:20:00",46397,992.229,4.961146
"2023-05-30 07:20:05",46398,993.5166,4.967583
"2023-05-30 07:20:10",46399,994.2058,4.97103
"2023-05-30 07:20:15",46400,994.0758,4.970379
"2023-05-30 07:20:20",46401,994.1739,4.97087
"2023-05-30 07:20:25",46402,994.6192,4.973096
"2023-05-30 07:20:30",46403,995.2942,4.976472
"2023-05-30 07:20:35",46404,996.3573,4.981787
"2023-05-30 07:20:40",46405,997.1299,4.98565
"2023-05-30 07:20:45",46406,998.0296,4.990148
"2023-05-30 07:20:50",46407,998.4163,4.992082
"2023-05-30 07:20:55",46408,997.7985,4.988993
"2023-05-30 07:21:00",46409,995.8014,4.979007
"2023-05-30 07:21:05",46410,993.0184,4.965092
"2023-05-30 07:21:10",46411,990.1343,4.950672
"2023-05-30 07:21:15",46412,988.3929,4.941965
"2023-05-30 07:21:20",46413,987.6582,4.938291
"2023-05-30 07:21:25",46414,987.7974,4.938987
"2023-05-30 07:21:30",46415,988.7092,4.943546
"2023-05-30 07:21:35",46416,990.3242,4.951622
"2023-05-30 07:21:40",46417,992.1108,4.960554
"2023-05-30 07:21:45",46418,993.7746,4.968874
"2023-05-30 07:21:50",46419,994.6222,4.973112
"2023-05-30 07:21:55",46420,995.2938,4.97647
