"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","Batt"
"TIMESTAMP","RECORD","BattV","PTemp"
"TS","RN","V","Deg_C"
"","","Smp","Smp"
"2023-05-30 10:02:00",2014,12.1385,17.99982
"2023-05-30 10:04:00",2015,12.16311,18.01953
"2023-05-30 10:06:00",2016,12.15099,18.04816
"2023-05-30 10:08:00",2017,12.15076,18.07187
"2023-05-30 10:10:00",2018,12.14147,18.10367
"2023-05-30 10:12:00",2019,12.15347,18.13037
"2023-05-30 10:14:00",2020,12.14115,18.16492
"2023-05-30 10:16:00",2021,12.14966,18.19278
"2023-05-30 10:18:00",2022,12.13481,18.23029
"2023-05-30 10:20:00",2023,12.14469,18.26154
"2023-05-30 10:22:00",2024,12.13903,18.29675
"2023-05-30 10:24:00",2025,12.15075,18.32474
"2023-05-30 10:26:00",2026,12.14204,18.35785
"2023-05-30 10:28:00",2027,12.15168,18.38452
"2023-05-30 10:30:00",2028,12.1353,18.41873
"2023-05-30 10:32:00",2029,12.14244,18.44662
"2023-05-30 10:34:00",2030,12.15518,18.50171
"2023-05-30 10:36:00",2031,12.16166,18.5632
"2023-05-30 10:38:00",2032,12.14699,18.62643
"2023-05-30 10:40:00",2033,12.14022,18.66644
"2023-05-30 10:42:00",2034,12.13925,18.70935
"2023-05-30 10:44:00",2035,12.14573,18.7511
"2023-05-30 10:46:00",2036,12.13919,18.78656
"2023-05-30 10:48:00",2037,12.1324,18.81149
"2023-05-30 10:50:00",2038,12.12542,18.83566
"2023-05-30 10:52:00",2039,12.13628,18.84943
"2023-05-30 10:54:00",2040,12.13697,18.87204
"2023-05-30 10:56:00",2041,12.13909,18.89362
"2023-05-30 10:58:00",2042,12.13361,18.91974
"2023-05-30 11:00:00",2043,12.12973,18.93872
