"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","MS3"
"TIMESTAMP","RECORD","BP","RH","AirTemp","DP"
"TS","RN","hPa","%","Deg_C","Deg_C"
"","","Smp","Smp","Smp","Smp"
"2023-05-30 09:02:00",1984,1014.4,81,14.4,11.3
"2023-05-30 09:04:00",1985,1014.5,79,14.4,10.9
"2023-05-30 09:06:00",1986,1014.5,80,14.4,11
"2023-05-30 09:08:00",1987,1014.5,78,14.4,10.7
"2023-05-30 09:10:00",1988,1014.5,79,14.5,10.9
"2023-05-30 09:12:00",1989,1014.4,79,14.5,10.9
"2023-05-30 09:14:00",1990,1014.5,80,14.5,11.2
"2023-05-30 09:16:00",1991,1014.5,80,14.7,11.2
"2023-05-30 09:18:00",1992,1014.4,79,14.7,11
"2023-05-30 09:20:00",1993,1014.4,80,14.7,11.4
"2023-05-30 09:22:00",1994,1014.4,78,14.7,10.9
"2023-05-30 09:24:00",1995,1014.5,76,14.7,10.7
"2023-05-30 09:26:00",1996,1014.4,78,14.6,10.9
"2023-05-30 09:28:00",1997,1014.5,79,14.8,11.2
"2023-05-30 09:30:00",1998,1014.5,77,14.8,11
"2023-05-30 09:32:00",1999,1014.5,77,14.8,10.8
"2023-05-30 09:34:00",2000,1014.5,78,14.9,11.2
"2023-05-30 09:36:00",2001,1014.5,79,14.8,11.3
"2023-05-30 09:38:00",2002,1014.5,77,14.8,11
"2023-05-30 09:40:00",2003,1014.5,78,14.7,10.9
"2023-05-30 09:42:00",2004,1014.5,76,14.8,10.6
"2023-05-30 09:44:00",2005,1014.5,78,14.7,11
"2023-05-30 09:46:00",2006,1014.4,79,14.9,11.3
"2023-05-30 09:48:00",2007,1014.4,77,15,11
"2023-05-30 09:50:00",2008,1014.5,78,14.8,11.1
"2023-05-30 09:52:00",2009,1014.5,77,14.9,11
"2023-05-30 09:54:00",2010,1014.6,77,15,11.1
"2023-05-30 09:56:00",2011,1014.5,76,14.8,10.6
"2023-05-30 09:58:00",2012,1014.5,75,14.7,10.5
"2023-05-30 10:00:00",2013,1014.5,77,14.9,10.9
