"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","Batt"
"TIMESTAMP","RECORD","BattV","PTemp"
"TS","RN","V","Deg_C"
"","","Smp","Smp"
"2023-06-01 19:02:00",3724,13.53035,24.91647
"2023-06-01 19:04:00",3725,13.54225,24.87833
"2023-06-01 19:06:00",3726,13.54126,24.84427
"2023-06-01 19:08:00",3727,13.5074,24.80313
"2023-06-01 19:10:00",3728,13.53886,24.76541
"2023-06-01 19:12:00",3729,13.52562,24.72153
"2023-06-01 19:14:00",3730,13.54161,24.68121
"2023-06-01 19:16:00",3731,13.53854,24.63412
"2023-06-01 19:18:00",3732,13.49272,24.58966
"2023-06-01 19:20:00",3733,13.55337,24.53821
"2023-06-01 19:22:00",3734,13.52826,24.49026
"2023-06-01 19:24:00",3735,13.55273,24.43509
"2023-06-01 19:26:00",3736,13.55721,24.38345
"2023-06-01 19:28:00",3737,13.47402,24.32651
"2023-06-01 19:30:00",3738,13.56122,24.27377
"2023-06-01 19:32:00",3739,13.53807,24.21606
"2023-06-01 19:34:00",3740,13.54406,24.16357
"2023-06-01 19:36:00",3741,13.55449,24.10681
"2023-06-01 19:38:00",3742,13.47187,24.05566
"2023-06-01 19:40:00",3743,13.55922,24.00043
"2023-06-01 19:42:00",3744,13.55601,23.95044
"2023-06-01 19:44:00",3745,13.55973,23.89594
"2023-06-01 19:46:00",3746,13.52852,23.84686
"2023-06-01 19:48:00",3747,13.45,23.79263
"2023-06-01 19:50:00",3748,13.44756,23.74384
"2023-06-01 19:52:00",3749,13.44092,23.68979
"2023-06-01 19:54:00",3750,13.35277,23.64075
"2023-06-01 19:56:00",3751,13.32921,23.586
"2023-06-01 19:58:00",3752,13.25442,23.53583
"2023-06-01 20:00:00",3753,13.22213,23.47916
