"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","PAR_aqua2"
"TIMESTAMP","RECORD","PAR_aqua2_Den","PAR_aqua2_Tot"
"TS","RN","umol/s/m^2","umol/m^2"
"","","Smp","Smp"
"2023-05-30 12:00:05",49758,10447.64,52.23821
"2023-05-30 12:00:10",49759,7227.262,36.13631
"2023-05-30 12:00:15",49760,8483.243,42.41622
"2023-05-30 12:00:20",49761,8873.009,44.36505
"2023-05-30 12:00:25",49762,10773.67,53.86834
"2023-05-30 12:00:30",49763,9051.601,45.25801
"2023-05-30 12:00:35",49764,8672.08,43.3604
"2023-05-30 12:00:40",49765,7842.622,39.21312
"2023-05-30 12:00:45",49766,10931.47,54.65735
"2023-05-30 12:00:50",49767,8118.27,40.59135
"2023-05-30 12:00:55",49768,8091.296,40.45648
"2023-05-30 12:01:00",49769,8307.068,41.53535
"2023-05-30 12:01:05",49770,7481.402,37.40701
"2023-05-30 12:01:10",49771,8315.791,41.57896
"2023-05-30 12:01:15",49772,8909.271,44.54636
"2023-05-30 12:01:20",49773,9136.73,45.68366
"2023-05-30 12:01:25",49774,9484.075,47.42038
"2023-05-30 12:01:30",49775,9986.702,49.93351
"2023-05-30 12:01:35",49776,10263,51.31501
"2023-05-30 12:01:40",49777,7988.16,39.9408
"2023-05-30 12:01:45",49778,9045.279,45.2264
"2023-05-30 12:01:50",49779,7818.658,39.0933
"2023-05-30 12:01:55",49780,8646.833,43.23417
"2023-05-30 12:02:00",49781,11259.71,56.29854
"2023-05-30 12:02:05",49782,9245.474,46.22738
"2023-05-30 12:02:10",49783,7291.848,36.45924
"2023-05-30 12:02:15",49784,8975.764,44.87882
"2023-05-30 12:02:20",49785,8654.082,43.27042
"2023-05-30 12:02:25",49786,10417.91,52.08954
"2023-05-30 12:02:30",49787,8219.32,41.09661
"2023-05-30 12:02:35",49788,9121.474,45.60738
"2023-05-30 12:02:40",49789,11833.83,59.16918
"2023-05-30 12:02:45",49790,10164.5,50.8225
"2023-05-30 12:02:50",49791,10076.68,50.3834
"2023-05-30 12:02:55",49792,9762.773,48.81387
"2023-05-30 12:03:00",49793,6803.735,34.01868
"2023-05-30 12:03:05",49794,9528.243,47.64122
"2023-05-30 12:03:10",49795,8954.279,44.7714
