"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.15 CR1000X R350 and IMU through SDM-SIO1A.CR1X","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-26 14:41:06.7",100,0,0,0,0,0,0
"2023-05-26 14:41:06.75",101,0,0,0,0,0,0
"2023-05-26 14:41:06.8",102,0,0,0,0,0,0
"2023-05-26 14:41:06.85",103,0,0,0,0,0,0
"2023-05-26 14:41:06.9",104,0,0,0,0,0,0
"2023-05-26 14:41:06.95",105,0,0,0,0,0,0
"2023-05-26 14:41:07",106,0,0,0,0,0,0
"2023-05-26 14:41:07.05",107,0,0,0,0,0,0
"2023-05-26 14:41:07.1",108,0,0,0,0,0,0
"2023-05-26 14:41:07.15",109,0,0,0,0,0,0
"2023-05-26 14:41:07.2",110,0,0,0,0,0,0
"2023-05-26 14:41:07.25",111,0,0,0,0,0,0
"2023-05-26 14:41:07.3",112,0,0,0,0,0,0
"2023-05-26 14:41:07.35",113,0,0,0,0,0,0
"2023-05-26 14:41:07.4",114,0,0,0,0,0,0
"2023-05-26 14:41:07.45",115,0,0,0,0,0,0
"2023-05-26 14:41:07.5",116,0,0,0,0,0,0
"2023-05-26 14:41:07.55",117,0,0,0,0,0,0
"2023-05-26 14:41:07.6",118,0,0,0,0,0,0
"2023-05-26 14:41:07.65",119,0,0,0,0,0,0
"2023-05-26 14:41:07.7",120,0,0,0,0,0,0
"2023-05-26 14:41:07.75",121,0,0,0,0,0,0
"2023-05-26 14:41:07.8",122,0,0,0,0,0,0
"2023-05-26 14:41:07.85",123,0,0,0,0,0,0
"2023-05-26 14:41:07.9",124,0,0,0,0,0,0
"2023-05-26 14:41:07.95",125,0,0,0,0,0,0
"2023-05-26 14:41:08",126,0,0,0,0,0,0
"2023-05-26 14:41:08.05",127,0,0,0,0,0,0
"2023-05-26 14:41:08.1",128,0,0,0,0,0,0
"2023-05-26 14:41:08.15",129,0,0,0,0,0,0
"2023-05-26 14:41:08.2",130,0,0,0,0,0,0
"2023-05-26 14:41:08.25",131,0,0,0,0,0,0
"2023-05-26 14:41:08.3",132,0,0,0,0,0,0
