"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","MS3"
"TIMESTAMP","RECORD","BP","RH","AirTemp","DP"
"TS","RN","hPa","%","Deg_C","Deg_C"
"","","Smp","Smp","Smp","Smp"
"2023-06-01 14:02:00",3574,1011.9,61,19.2,11.7
"2023-06-01 14:04:00",3575,1011.8,63,19.4,12.3
"2023-06-01 14:06:00",3576,1011.9,63,19.5,12.4
"2023-06-01 14:08:00",3577,1011.9,62,19.4,12
"2023-06-01 14:10:00",3578,1011.9,61,19.4,11.9
"2023-06-01 14:12:00",3579,1011.8,62,19.3,11.9
"2023-06-01 14:14:00",3580,1011.8,63,19.2,12.2
"2023-06-01 14:16:00",3581,1011.8,61,18.9,11.4
"2023-06-01 14:18:00",3582,1011.8,62,19,11.6
"2023-06-01 14:20:00",3583,1011.8,62,19,11.8
"2023-06-01 14:22:00",3584,1011.8,63,19.1,12
"2023-06-01 14:24:00",3585,1011.8,62,19.2,11.9
"2023-06-01 14:26:00",3586,1011.9,62,19.2,11.9
"2023-06-01 14:28:00",3587,1011.9,60,19.4,11.6
"2023-06-01 14:30:00",3588,1011.9,62,19.5,12.2
"2023-06-01 14:32:00",3589,1011.9,62,19.6,12.1
"2023-06-01 14:34:00",3590,1011.8,61,19.3,11.6
"2023-06-01 14:36:00",3591,1011.8,62,19.4,11.9
"2023-06-01 14:38:00",3592,1011.9,61,19.6,12.1
"2023-06-01 14:40:00",3593,1011.8,60,19.6,11.9
"2023-06-01 14:42:00",3594,1011.7,61,19.7,12.1
"2023-06-01 14:44:00",3595,1011.8,60,19.7,11.9
"2023-06-01 14:46:00",3596,1011.7,60,19.9,12
"2023-06-01 14:48:00",3597,1011.7,60,19.9,11.9
"2023-06-01 14:50:00",3598,1011.6,60,19.9,12.1
"2023-06-01 14:52:00",3599,1011.6,61,19.9,12.3
"2023-06-01 14:54:00",3600,1011.6,60,19.9,12.1
"2023-06-01 14:56:00",3601,1011.5,60,19.6,11.9
"2023-06-01 14:58:00",3602,1011.4,61,19.6,12.1
"2023-06-01 15:00:00",3603,1011.6,60,19.9,12
