"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","EXO_data"
"TIMESTAMP","RECORD","Chlorophyll","nLFCond","Pressure","Turbidity","Temp","Cond","D_OX","Sal","TSS","VerticalPosition","Depth","D_OX2","SpCond","WiperPosition","BPower","fDOM","D_OX3","Phycoerythrin","pH","CablePower","fDOM2","ORP","TDS","pH2"
"TS","RN","RFU","microSimens/cm","psia","FNU","C","microSimens/cm","%Sat","PSU","mg/L","m","m","%Local","microSimens/cm","volt","volt","QSU","mg/L","RFU","pH","volt","RFU","mV","mg/L","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-01 11:02:00",3484,0.41,6110,-0.03,13.67,17.71,5195,87.7,3.3,0,0.167,-0.021,90.6,6036,1.21,0,15.76,8.19,1.53,7.9,12.12,5.25,271.4,3924,-51.68
"2023-06-01 11:04:00",3485,0.41,6005,-0.03,13.6,17.73,5109,87.8,3.24,0,0.167,-0.021,90.7,5933,1.2,0,15.7,8.19,1.53,7.9,12.12,5.23,271.2,3856,-51.74
"2023-06-01 11:06:00",3486,0.41,6005,-0.03,13.6,17.73,5109,87.8,3.24,0,0.167,-0.021,90.7,5933,1.2,0,15.7,8.19,1.53,7.9,12.12,5.23,271.2,3856,-51.74
"2023-06-01 11:08:00",3487,0.4,5980,-0.03,13.83,17.73,5088,87.7,3.23,0,0.167,-0.022,90.7,5909,1.19,0,15.64,8.19,1.52,7.9,12.12,5.21,271.3,3841,-51.74
"2023-06-01 11:10:00",3488,0.4,5980,-0.03,13.83,17.73,5088,87.7,3.23,0,0.167,-0.022,90.7,5909,1.19,0,15.64,8.19,1.52,7.9,12.12,5.21,271.3,3841,-51.74
"2023-06-01 11:12:00",3489,0.41,5983,-0.03,14.26,17.73,5090,87.7,3.23,0,0.167,-0.021,90.7,5912,1.21,0,15.61,8.19,1.53,7.9,12.12,5.2,271.3,3843,-51.79
"2023-06-01 11:14:00",3490,0.41,5983,-0.03,14.26,17.73,5090,87.7,3.23,0,0.167,-0.021,90.7,5912,1.21,0,15.61,8.19,1.53,7.9,12.12,5.2,271.3,3843,-51.79
"2023-06-01 11:16:00",3491,0.42,5974,-0.03,14.49,17.75,5085,87.8,3.22,0,0.167,-0.022,90.8,5903,1.2,0,15.6,8.2,1.56,7.9,12.12,5.2,271.3,3837,-51.94
"2023-06-01 11:18:00",3492,0.42,5974,-0.03,14.49,17.75,5085,87.8,3.22,0,0.167,-0.022,90.8,5903,1.2,0,15.6,8.2,1.56,7.9,12.12,5.2,271.3,3837,-51.94
"2023-06-01 11:20:00",3493,0.42,5959,-0.03,14.62,17.77,5075,87.9,3.21,0,0.167,-0.022,90.9,5888,1.19,0,15.55,8.2,1.55,7.9,12.12,5.18,271.2,3827,-52.02
"2023-06-01 11:22:00",3494,0.42,5959,-0.03,14.62,17.77,5075,87.9,3.21,0,0.167,-0.022,90.9,5888,1.19,0,15.55,8.2,1.55,7.9,12.12,5.18,271.2,3827,-52.02
"2023-06-01 11:24:00",3495,0.44,6045,-0.03,14.86,17.78,5149,88,3.26,0,0.168,-0.021,91,5973,1.2,0,15.53,8.21,1.59,7.91,12.12,5.18,271.2,3882,-52.26
"2023-06-01 11:26:00",3496,0.44,6045,-0.03,14.86,17.78,5149,88,3.26,0,0.168,-0.021,91,5973,1.2,0,15.53,8.21,1.59,7.91,12.12,5.18,271.2,3882,-52.26
"2023-06-01 11:28:00",3497,0.43,6188,-0.03,14.99,17.82,5275,88.2,3.35,0,0.168,-0.021,91.2,6114,1.2,0,15.58,8.21,1.57,7.91,12.12,5.19,271.3,3974,-52.38
"2023-06-01 11:30:00",3498,0.43,6188,-0.03,14.99,17.82,5275,88.2,3.35,0,0.168,-0.021,91.2,6114,1.2,0,15.58,8.21,1.57,7.91,12.12,5.19,271.3,3974,-52.38
"2023-06-01 11:32:00",3499,0.44,6593,-0.03,15.15,17.78,5616,88,3.58,0,0.169,-0.02,90.9,6514,1.2,0,15.4,8.19,1.58,7.91,12.03,5.13,271.9,4234,-52.2
"2023-06-01 11:34:00",3500,0.44,6593,-0.03,15.15,17.78,5616,88,3.58,0,0.169,-0.02,90.9,6514,1.2,0,15.4,8.19,1.58,7.91,12.03,5.13,271.9,4234,-52.2
"2023-06-01 11:36:00",3501,0.47,6551,-0.03,14.78,17.85,5590,88.2,3.56,0,0.167,-0.021,91.2,6474,1.2,0,15.36,8.2,1.64,7.91,12.12,5.12,271.4,4208,-52.33
"2023-06-01 11:38:00",3502,0.47,6551,-0.03,14.78,17.85,5590,88.2,3.56,0,0.167,-0.021,91.2,6474,1.2,0,15.36,8.2,1.64,7.91,12.12,5.12,271.4,4208,-52.33
"2023-06-01 11:40:00",3503,0.43,7481,-0.03,15.17,17.7,6359,87.4,4.1,0,0.169,-0.02,90.4,7391,1.2,0,15.2,8.12,1.55,7.9,12.12,5.07,271.9,4804,-51.8
"2023-06-01 11:42:00",3504,0.43,7481,-0.03,15.17,17.7,6359,87.4,4.1,0,0.169,-0.02,90.4,7391,1.2,0,15.2,8.12,1.55,7.9,12.12,5.07,271.9,4804,-51.8
"2023-06-01 11:44:00",3505,0.37,7750,-0.03,13.4,17.71,6590,87.3,4.26,0,0.166,-0.023,90.3,7657,1.2,0,15.26,8.11,1.47,7.89,12.11,5.09,270.9,4977,-51.5
"2023-06-01 11:46:00",3506,0.37,7750,-0.03,13.4,17.71,6590,87.3,4.26,0,0.166,-0.023,90.3,7657,1.2,0,15.26,8.11,1.47,7.89,12.11,5.09,270.9,4977,-51.5
"2023-06-01 11:48:00",3507,0.36,7366,-0.03,12.33,17.75,6270,87.5,4.03,0,0.165,-0.023,90.5,7279,1.2,0,15.39,8.13,1.43,7.9,12.12,5.13,269.1,4731,-51.73
"2023-06-01 11:50:00",3508,0.36,7366,-0.03,12.33,17.75,6270,87.5,4.03,0,0.165,-0.023,90.5,7279,1.2,0,15.39,8.13,1.43,7.9,12.12,5.13,269.1,4731,-51.73
"2023-06-01 11:52:00",3509,0.35,7181,-0.03,12.05,17.79,6119,87.7,3.92,0,0.165,-0.023,90.7,7095,1.2,0,15.43,8.15,1.44,7.9,12.11,5.14,268.1,4612,-51.78
"2023-06-01 11:54:00",3510,0.35,7181,-0.03,12.05,17.79,6119,87.7,3.92,0,0.165,-0.023,90.7,7095,1.2,0,15.43,8.15,1.44,7.9,12.11,5.14,268.1,4612,-51.78
"2023-06-01 11:56:00",3511,0.35,7395,-0.03,12.13,17.78,6299,87.7,4.05,0,0.165,-0.023,90.6,7307,1.19,0,15.39,8.14,1.41,7.9,11.99,5.13,267.6,4750,-51.83
"2023-06-01 11:58:00",3512,0.35,7395,-0.03,12.13,17.78,6299,87.7,4.05,0,0.165,-0.023,90.6,7307,1.19,0,15.39,8.14,1.41,7.9,11.99,5.13,267.6,4750,-51.83
"2023-06-01 12:00:00",3513,0.38,7406,-0.03,12.2,17.72,6300,87.6,4.06,0,0.165,-0.023,90.5,7317,1.2,0,15.52,8.14,1.48,7.9,11.96,5.17,267.3,4756,-51.89
