"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","MS3"
"TIMESTAMP","RECORD","BP","RH","AirTemp","DP"
"TS","RN","hPa","%","Deg_C","Deg_C"
"","","Smp","Smp","Smp","Smp"
"2023-05-29 08:02:00",1234,1012.8,82,13.8,10.9
"2023-05-29 08:04:00",1235,1012.8,81,13.8,10.8
"2023-05-29 08:06:00",1236,1012.8,83,13.9,11.2
"2023-05-29 08:08:00",1237,1012.8,84,13.9,11.2
"2023-05-29 08:10:00",1238,1012.8,84,13.9,11.3
"2023-05-29 08:12:00",1239,1012.8,84,13.9,11.4
"2023-05-29 08:14:00",1240,1012.8,83,13.9,11.1
"2023-05-29 08:16:00",1241,1012.8,82,13.8,10.8
"2023-05-29 08:18:00",1242,1012.7,83,13.8,11
"2023-05-29 08:20:00",1243,1012.8,83,13.9,11.1
"2023-05-29 08:22:00",1244,1012.8,84,13.9,11.4
"2023-05-29 08:24:00",1245,1012.8,82,13.9,10.9
"2023-05-29 08:26:00",1246,1012.8,82,13.9,11
"2023-05-29 08:28:00",1247,1012.9,82,13.9,11
"2023-05-29 08:30:00",1248,1013,81,13.9,10.8
"2023-05-29 08:32:00",1249,1013.1,82,13.9,10.9
"2023-05-29 08:34:00",1250,1013.1,82,14,11.1
"2023-05-29 08:36:00",1251,1013.2,83,14.1,11.3
"2023-05-29 08:38:00",1252,1013.2,81,14.1,11
"2023-05-29 08:40:00",1253,1013.1,82,14.1,11.2
"2023-05-29 08:42:00",1254,1013.1,82,14.1,11
"2023-05-29 08:44:00",1255,1013.2,82,14.1,11.2
"2023-05-29 08:46:00",1256,1013.2,81,14.1,11
"2023-05-29 08:48:00",1257,1013.3,82,14.1,11
"2023-05-29 08:50:00",1258,1013.2,83,14.1,11.4
"2023-05-29 08:52:00",1259,1013.2,82,14.2,11.2
"2023-05-29 08:54:00",1260,1013.2,80,14.2,10.9
"2023-05-29 08:56:00",1261,1013.2,81,14.2,11
"2023-05-29 08:58:00",1262,1013.3,81,14.2,11
"2023-05-29 09:00:00",1263,1013.3,80,14.3,11
