"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","55658","Batt"
"TIMESTAMP","RECORD","BattV","PTemp"
"TS","RN","V","Deg_C"
"","","Smp","Smp"
"2023-05-27 08:16:00",0,0,16.50128
"2023-05-27 08:18:00",1,12.94364,16.35898
"2023-05-27 08:20:00",2,12.95339,16.26144
"2023-05-27 08:22:00",3,12.95359,16.1846
"2023-05-27 08:24:00",4,12.95213,16.12878
"2023-05-27 08:26:00",5,12.95507,16.11301
"2023-05-27 08:28:00",6,12.95622,16.14294
"2023-05-27 08:30:00",7,12.95586,16.16766
"2023-05-27 08:32:00",8,0,16.28259
"2023-05-27 08:34:00",9,0,16.30066
"2023-05-27 08:36:00",10,0,16.32773
"2023-05-27 08:38:00",11,0,16.33383
