"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","PAR_aqua1"
"TIMESTAMP","RECORD","PAR_aqua1_Den","PAR_aqua1_Tot"
"TS","RN","umol/s/m^2","umol/m^2"
"","","Smp","Smp"
"2023-05-28 11:00:05",14478,7863.429,39.31715
"2023-05-28 11:00:10",14479,7895.455,39.47728
"2023-05-28 11:00:15",14480,7920.409,39.60205
"2023-05-28 11:00:20",14481,7969.851,39.84926
"2023-05-28 11:00:25",14482,8019.738,40.09869
"2023-05-28 11:00:30",14483,8035.873,40.17937
"2023-05-28 11:00:35",14484,8041.866,40.20933
"2023-05-28 11:00:40",14485,8071.805,40.35903
"2023-05-28 11:00:45",14486,8073.066,40.36534
"2023-05-28 11:00:50",14487,8109.734,40.54867
"2023-05-28 11:00:55",14488,8127.541,40.63771
"2023-05-28 11:01:00",14489,8140.9,40.7045
"2023-05-28 11:01:05",14490,8153.83,40.76915
"2023-05-28 11:01:10",14491,8189.532,40.94767
"2023-05-28 11:01:15",14492,8159.898,40.7995
"2023-05-28 11:01:20",14493,8157.834,40.78918
"2023-05-28 11:01:25",14494,8197.986,40.98994
"2023-05-28 11:01:30",14495,8265.097,41.32549
"2023-05-28 11:01:35",14496,8354.368,41.77184
"2023-05-28 11:01:40",14497,8428.792,42.14396
"2023-05-28 11:01:45",14498,8472.627,42.36314
"2023-05-28 11:01:50",14499,8558.902,42.79451
"2023-05-28 11:01:55",14500,8585.65,42.92825
"2023-05-28 11:02:00",14501,8653.532,43.26766
"2023-05-28 11:02:05",14502,8734.362,43.67181
"2023-05-28 11:02:10",14503,8819.878,44.09939
"2023-05-28 11:02:15",14504,8854.416,44.27208
"2023-05-28 11:02:20",14505,8867.986,44.33993
"2023-05-28 11:02:25",14506,8867.194,44.33597
"2023-05-28 11:02:30",14507,8868.621,44.34311
"2023-05-28 11:02:35",14508,8942.758,44.7138
"2023-05-28 11:02:40",14509,8961.947,44.80974
"2023-05-28 11:02:45",14510,9009.991,45.04996
"2023-05-28 11:02:50",14511,9064.806,45.32404
"2023-05-28 11:02:55",14512,9121.054,45.60528
"2023-05-28 11:03:00",14513,9110.74,45.55371
"2023-05-28 11:03:05",14514,9165.063,45.82532
"2023-05-28 11:03:10",14515,9211.761,46.05881
