"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","MS3"
"TIMESTAMP","RECORD","BP","RH","AirTemp","DP"
"TS","RN","hPa","%","Deg_C","Deg_C"
"","","Smp","Smp","Smp","Smp"
"2023-06-02 00:02:00",3874,1012.4,77,13.2,9.5
"2023-06-02 00:04:00",3875,1012.4,79,13.3,9.7
"2023-06-02 00:06:00",3876,1012.4,78,13.2,9.6
"2023-06-02 00:08:00",3877,1012.4,77,13.2,9.3
"2023-06-02 00:10:00",3878,1012.4,77,13.2,9.4
"2023-06-02 00:12:00",3879,1012.4,79,13.2,9.7
"2023-06-02 00:14:00",3880,1012.4,79,13.3,9.8
"2023-06-02 00:16:00",3881,1012.4,77,13.2,9.4
"2023-06-02 00:18:00",3882,1012.4,78,13.2,9.6
"2023-06-02 00:20:00",3883,1012.4,77,13.2,9.4
"2023-06-02 00:22:00",3884,1012.4,77,13.2,9.4
"2023-06-02 00:24:00",3885,1012.3,78,13.2,9.5
"2023-06-02 00:26:00",3886,1012.3,78,13.3,9.6
"2023-06-02 00:28:00",3887,1012.3,79,13.3,9.7
"2023-06-02 00:30:00",3888,1012.3,78,13.3,9.6
"2023-06-02 00:32:00",3889,1012.3,78,13.3,9.5
"2023-06-02 00:34:00",3890,1012.3,78,13.3,9.6
"2023-06-02 00:36:00",3891,1012.4,77,13.2,9.4
"2023-06-02 00:38:00",3892,1012.4,79,13.3,9.7
"2023-06-02 00:40:00",3893,1012.4,80,13.3,9.9
"2023-06-02 00:42:00",3894,1012.4,78,13.2,9.6
"2023-06-02 00:44:00",3895,1012.4,79,13.3,9.8
"2023-06-02 00:46:00",3896,1012.4,80,13.3,9.9
"2023-06-02 00:48:00",3897,1012.4,78,13.3,9.6
"2023-06-02 00:50:00",3898,1012.4,79,13.3,9.9
"2023-06-02 00:52:00",3899,1012.3,80,13.3,10
"2023-06-02 00:54:00",3900,1012.3,77,13.3,9.5
"2023-06-02 00:56:00",3901,1012.3,77,13.2,9.4
"2023-06-02 00:58:00",3902,1012.3,79,13.3,9.7
"2023-06-02 01:00:00",3903,1012.3,79,13.2,9.7
