"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-27 08:58:25.05",101,0,0,0,0,0,0
"2023-05-27 08:58:25.1",102,0,0,0,0,0,0
"2023-05-27 08:58:25.15",103,0,0,0,0,0,0
"2023-05-27 08:58:25.2",104,0,0,0,0,0,0
"2023-05-27 08:58:25.25",105,0,0,0,0,0,0
"2023-05-27 08:58:25.3",106,0,0,0,0,0,0
"2023-05-27 08:58:25.35",107,0,0,0,0,0,0
"2023-05-27 08:58:25.4",108,0,0,0,0,0,0
"2023-05-27 08:58:25.45",109,0,0,0,0,0,0
"2023-05-27 08:58:25.5",110,0,0,0,0,0,0
"2023-05-27 08:58:25.55",111,0,0,0,0,0,0
"2023-05-27 08:58:25.6",112,0,0,0,0,0,0
"2023-05-27 08:58:25.65",113,0,0,0,0,0,0
"2023-05-27 08:58:25.7",114,0,0,0,0,0,0
"2023-05-27 08:58:25.75",115,0,0,0,0,0,0
"2023-05-27 08:58:25.8",116,0,0,0,0,0,0
"2023-05-27 08:58:25.85",117,0,0,0,0,0,0
"2023-05-27 08:58:25.9",118,0,0,0,0,0,0
"2023-05-27 08:58:25.95",119,0,0,0,0,0,0
"2023-05-27 08:58:26",120,0,0,0,0,0,0
"2023-05-27 08:58:26.05",121,0,0,0,0,0,0
"2023-05-27 08:58:26.1",122,0,0,0,0,0,0
"2023-05-27 08:58:26.15",123,0,0,0,0,0,0
"2023-05-27 08:58:26.2",124,0,0,0,0,0,0
"2023-05-27 08:58:26.25",125,0,0,0,0,0,0
"2023-05-27 08:58:26.3",126,0,0,0,0,0,0
"2023-05-27 08:58:26.35",127,0,0,0,0,0,0
"2023-05-27 08:58:26.4",128,0,0,0,0,0,0
"2023-05-27 08:58:26.45",129,0,0,0,0,0,0
"2023-05-27 08:58:26.5",130,0,0,0,0,0,0
"2023-05-27 08:58:26.55",131,0,0,0,0,0,0
"2023-05-27 08:58:26.6",132,0,0,0,0,0,0
"2023-05-27 08:58:26.65",133,0,0,0,0,0,0
"2023-05-27 08:58:26.7",134,0,0,0,0,0,0
"2023-05-27 08:58:26.75",135,0,0,0,0,0,0
"2023-05-27 08:58:26.8",136,0,0,0,0,0,0
"2023-05-27 08:58:26.85",137,0,0,0,0,0,0
"2023-05-27 08:58:26.9",138,0,0,0,0,0,0
"2023-05-27 08:58:26.95",139,0,0,0,0,0,0
"2023-05-27 08:58:27",140,0,0,0,0,0,0
"2023-05-27 08:58:27.05",141,0,0,0,0,0,0
"2023-05-27 08:58:27.1",142,0,0,0,0,0,0
"2023-05-27 08:58:27.15",143,0,0,0,0,0,0
"2023-05-27 08:58:27.2",144,0,0,0,0,0,0
"2023-05-27 08:58:27.25",145,0,0,0,0,0,0
"2023-05-27 08:58:27.3",146,0,0,0,0,0,0
"2023-05-27 08:58:27.35",147,0,0,0,0,0,0
"2023-05-27 08:58:27.4",148,0,0,0,0,0,0
"2023-05-27 08:58:27.45",149,0,0,0,0,0,0
"2023-05-27 08:58:27.5",150,0,0,0,0,0,0
"2023-05-27 08:58:27.55",151,0,0,0,0,0,0
"2023-05-27 08:58:27.6",152,0,0,0,0,0,0
"2023-05-27 08:58:27.65",153,0,0,0,0,0,0
"2023-05-27 08:58:27.7",154,0,0,0,0,0,0
"2023-05-27 08:58:27.75",155,0,0,0,0,0,0
"2023-05-27 08:58:27.8",156,0,0,0,0,0,0
"2023-05-27 08:58:27.85",157,0,0,0,0,0,0
"2023-05-27 08:58:27.9",158,0,0,0,0,0,0
"2023-05-27 08:58:27.95",159,0,0,0,0,0,0
"2023-05-27 08:58:28",160,0,0,0,0,0,0
"2023-05-27 08:58:28.05",161,0,0,0,0,0,0
"2023-05-27 08:58:28.1",162,0,0,0,0,0,0
"2023-05-27 08:58:28.15",163,0,0,0,0,0,0
"2023-05-27 08:58:28.2",164,0,0,0,0,0,0
"2023-05-27 08:58:28.25",165,0,0,0,0,0,0
"2023-05-27 08:58:28.3",166,0,0,0,0,0,0
"2023-05-27 08:58:28.35",167,0,0,0,0,0,0
"2023-05-27 08:58:28.4",168,0,0,0,0,0,0
"2023-05-27 08:58:28.45",169,0,0,0,0,0,0
"2023-05-27 08:58:28.5",170,0,0,0,0,0,0
"2023-05-27 08:58:28.55",171,0,0,0,0,0,0
"2023-05-27 08:58:28.6",172,0,0,0,0,0,0
"2023-05-27 08:58:28.65",173,0,0,0,0,0,0
"2023-05-27 08:58:28.7",174,0,0,0,0,0,0
"2023-05-27 08:58:28.75",175,0,0,0,0,0,0
"2023-05-27 08:58:28.8",176,0,0,0,0,0,0
"2023-05-27 08:58:28.85",177,0,0,0,0,0,0
"2023-05-27 08:58:28.9",178,0,0,0,0,0,0
"2023-05-27 08:58:28.95",179,0,0,0,0,0,0
"2023-05-27 08:58:29",180,0,0,0,0,0,0
"2023-05-27 08:58:29.05",181,0,0,0,0,0,0
"2023-05-27 08:58:29.1",182,0,0,0,0,0,0
"2023-05-27 08:58:29.15",183,0,0,0,0,0,0
"2023-05-27 08:58:29.2",184,0,0,0,0,0,0
"2023-05-27 08:58:29.25",185,0,0,0,0,0,0
"2023-05-27 08:58:29.3",186,0,0,0,0,0,0
"2023-05-27 08:58:29.35",187,0,0,0,0,0,0
"2023-05-27 08:58:29.4",188,0,0,0,0,0,0
"2023-05-27 08:58:29.45",189,0,0,0,0,0,0
"2023-05-27 08:58:29.5",190,0,0,0,0,0,0
"2023-05-27 08:58:29.55",191,0,0,0,0,0,0
"2023-05-27 08:58:29.6",192,0,0,0,0,0,0
"2023-05-27 08:58:29.65",193,0,0,0,0,0,0
"2023-05-27 08:58:29.7",194,0,0,0,0,0,0
"2023-05-27 08:58:29.75",195,0,0,0,0,0,0
"2023-05-27 08:58:29.8",196,0,0,0,0,0,0
"2023-05-27 08:58:29.85",197,0,0,0,0,0,0
"2023-05-27 08:58:29.9",198,0,0,0,0,0,0
"2023-05-27 08:58:29.95",199,0,0,0,0,0,0
"2023-05-27 08:58:30",200,0,0,0,0,0,0
"2023-05-27 08:58:30.05",201,0,0,0,0,0,0
"2023-05-27 08:58:30.1",202,0,0,0,0,0,0
"2023-05-27 08:58:30.15",203,0,0,0,0,0,0
"2023-05-27 08:58:30.2",204,0,0,0,0,0,0
"2023-05-27 08:58:30.25",205,0,0,0,0,0,0
"2023-05-27 08:58:30.3",206,0,0,0,0,0,0
"2023-05-27 08:58:30.35",207,0,0,0,0,0,0
"2023-05-27 08:58:30.4",208,0,0,0,0,0,0
"2023-05-27 08:58:30.45",209,0,0,0,0,0,0
"2023-05-27 08:58:30.5",210,0,0,0,0,0,0
"2023-05-27 08:58:30.55",211,0,0,0,0,0,0
"2023-05-27 08:58:30.6",212,0,0,0,0,0,0
"2023-05-27 08:58:30.65",213,0,0,0,0,0,0
"2023-05-27 08:58:30.7",214,0,0,0,0,0,0
"2023-05-27 08:58:30.75",215,0,0,0,0,0,0
"2023-05-27 08:58:30.8",216,0,0,0,0,0,0
"2023-05-27 08:58:30.85",217,0,0,0,0,0,0
"2023-05-27 08:58:30.9",218,0,0,0,0,0,0
"2023-05-27 08:58:30.95",219,0,0,0,0,0,0
"2023-05-27 08:58:31",220,0,0,0,0,0,0
"2023-05-27 08:58:31.05",221,0,0,0,0,0,0
"2023-05-27 08:58:31.1",222,0,0,0,0,0,0
"2023-05-27 08:58:31.15",223,0,0,0,0,0,0
"2023-05-27 08:58:31.2",224,0,0,0,0,0,0
"2023-05-27 08:58:31.25",225,0,0,0,0,0,0
"2023-05-27 08:58:31.3",226,0,0,0,0,0,0
"2023-05-27 08:58:31.35",227,0,0,0,0,0,0
"2023-05-27 08:58:31.4",228,0,0,0,0,0,0
"2023-05-27 08:58:31.45",229,0,0,0,0,0,0
"2023-05-27 08:58:31.5",230,0,0,0,0,0,0
"2023-05-27 08:58:31.55",231,0,0,0,0,0,0
"2023-05-27 08:58:31.6",232,0,0,0,0,0,0
"2023-05-27 08:58:31.65",233,0,0,0,0,0,0
"2023-05-27 08:58:31.7",234,0,0,0,0,0,0
"2023-05-27 08:58:31.75",235,0,0,0,0,0,0
"2023-05-27 08:58:31.8",236,0,0,0,0,0,0
"2023-05-27 08:58:31.85",237,0,0,0,0,0,0
"2023-05-27 08:58:31.9",238,0,0,0,0,0,0
"2023-05-27 08:58:31.95",239,0,0,0,0,0,0
"2023-05-27 08:58:32",240,0,0,0,0,0,0
"2023-05-27 08:58:32.05",241,0,0,0,0,0,0
"2023-05-27 08:58:32.1",242,0,0,0,0,0,0
"2023-05-27 08:58:32.15",243,0,0,0,0,0,0
"2023-05-27 08:58:32.2",244,0,0,0,0,0,0
"2023-05-27 08:58:32.25",245,0,0,0,0,0,0
"2023-05-27 08:58:32.3",246,0,0,0,0,0,0
"2023-05-27 08:58:32.35",247,0,0,0,0,0,0
"2023-05-27 08:58:32.4",248,0,0,0,0,0,0
"2023-05-27 08:58:32.45",249,0,0,0,0,0,0
"2023-05-27 08:58:32.5",250,0,0,0,0,0,0
"2023-05-27 08:58:32.55",251,0,0,0,0,0,0
"2023-05-27 08:58:32.6",252,0,0,0,0,0,0
"2023-05-27 08:58:32.65",253,0,0,0,0,0,0
"2023-05-27 08:58:32.7",254,0,0,0,0,0,0
"2023-05-27 08:58:32.75",255,0,0,0,0,0,0
"2023-05-27 08:58:32.8",256,0,0,0,0,0,0
"2023-05-27 08:58:32.85",257,0,0,0,0,0,0
"2023-05-27 08:58:32.9",258,0,0,0,0,0,0
"2023-05-27 08:58:32.95",259,0,0,0,0,0,0
"2023-05-27 08:58:33",260,0,0,0,0,0,0
"2023-05-27 08:58:33.05",261,0,0,0,0,0,0
"2023-05-27 08:58:33.1",262,0,0,0,0,0,0
"2023-05-27 08:58:33.15",263,0,0,0,0,0,0
"2023-05-27 08:58:33.2",264,0,0,0,0,0,0
"2023-05-27 08:58:33.25",265,0,0,0,0,0,0
"2023-05-27 08:58:33.3",266,0,0,0,0,0,0
"2023-05-27 08:58:33.35",267,0,0,0,0,0,0
"2023-05-27 08:58:33.4",268,0,0,0,0,0,0
"2023-05-27 08:58:33.45",269,0,0,0,0,0,0
"2023-05-27 08:58:33.5",270,0,0,0,0,0,0
"2023-05-27 08:58:33.55",271,0,0,0,0,0,0
"2023-05-27 08:58:33.6",272,0,0,0,0,0,0
"2023-05-27 08:58:33.65",273,0,0,0,0,0,0
"2023-05-27 08:58:33.7",274,0,0,0,0,0,0
"2023-05-27 08:58:33.75",275,0,0,0,0,0,0
"2023-05-27 08:58:33.8",276,0,0,0,0,0,0
"2023-05-27 08:58:33.85",277,0,0,0,0,0,0
"2023-05-27 08:58:33.9",278,0,0,0,0,0,0
"2023-05-27 08:58:33.95",279,0,0,0,0,0,0
"2023-05-27 08:58:34",280,0,0,0,0,0,0
"2023-05-27 08:58:34.05",281,0,0,0,0,0,0
