"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","MS3"
"TIMESTAMP","RECORD","BP","RH","AirTemp","DP"
"TS","RN","hPa","%","Deg_C","Deg_C"
"","","Smp","Smp","Smp","Smp"
"2023-05-29 07:02:00",1204,1012.5,86,13.4,11.2
"2023-05-29 07:04:00",1205,1012.5,85,13.4,11
"2023-05-29 07:06:00",1206,1012.5,86,13.3,11
"2023-05-29 07:08:00",1207,1012.6,84,13.3,10.7
"2023-05-29 07:10:00",1208,1012.6,85,13.3,10.9
"2023-05-29 07:12:00",1209,1012.6,84,13.3,10.8
"2023-05-29 07:14:00",1210,1012.6,84,13.4,10.8
"2023-05-29 07:16:00",1211,1012.7,85,13.4,11
"2023-05-29 07:18:00",1212,1012.8,85,13.4,10.9
"2023-05-29 07:20:00",1213,1012.8,84,13.4,10.9
"2023-05-29 07:22:00",1214,1012.8,84,13.5,11
"2023-05-29 07:24:00",1215,1012.9,84,13.5,10.8
"2023-05-29 07:26:00",1216,1012.9,83,13.4,10.7
"2023-05-29 07:28:00",1217,1012.9,83,13.5,10.7
"2023-05-29 07:30:00",1218,1012.8,83,13.5,10.8
"2023-05-29 07:32:00",1219,1012.8,85,13.6,11.2
"2023-05-29 07:34:00",1220,1012.7,84,13.6,11.1
"2023-05-29 07:36:00",1221,1012.8,83,13.6,10.9
"2023-05-29 07:38:00",1222,1012.7,84,13.5,10.9
"2023-05-29 07:40:00",1223,1012.7,84,13.5,10.9
"2023-05-29 07:42:00",1224,1012.6,84,13.5,11
"2023-05-29 07:44:00",1225,1012.6,85,13.5,11.1
"2023-05-29 07:46:00",1226,1012.6,84,13.5,10.8
"2023-05-29 07:48:00",1227,1012.6,83,13.5,10.6
"2023-05-29 07:50:00",1228,1012.7,84,13.5,10.9
"2023-05-29 07:52:00",1229,1012.8,84,13.6,11
"2023-05-29 07:54:00",1230,1012.9,84,13.8,11.1
"2023-05-29 07:56:00",1231,1012.9,83,13.8,11
"2023-05-29 07:58:00",1232,1012.8,84,13.9,11.2
"2023-05-29 08:00:00",1233,1012.8,83,13.9,11.1
