"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","PAR_atmo"
"TIMESTAMP","RECORD","PAR_atmo_Den","PAR_atmo_Tot"
"TS","RN","umol/s/m^2","umol/m^2"
"","","Smp","Smp"
"2023-06-01 19:00:05",89358,3100.187,15.50093
"2023-06-01 19:00:10",89359,3433.176,17.16588
"2023-06-01 19:00:15",89360,2954.146,14.77073
"2023-06-01 19:00:20",89361,3220.658,16.10329
"2023-06-01 19:00:25",89362,3071.83,15.35915
"2023-06-01 19:00:30",89363,3134.998,15.67499
"2023-06-01 19:00:35",89364,3106.975,15.53488
"2023-06-01 19:00:40",89365,3416.913,17.08457
"2023-06-01 19:00:45",89366,3376.46,16.8823
"2023-06-01 19:00:50",89367,3467.29,17.33645
"2023-06-01 19:00:55",89368,2985.745,14.92872
"2023-06-01 19:01:00",89369,3205.853,16.02927
"2023-06-01 19:01:05",89370,3421.137,17.10569
"2023-06-01 19:01:10",89371,2949.17,14.74585
"2023-06-01 19:01:15",89372,3422.728,17.11364
"2023-06-01 19:01:20",89373,2968.159,14.8408
"2023-06-01 19:01:25",89374,3068.229,15.34115
"2023-06-01 19:01:30",89375,3382.184,16.91092
"2023-06-01 19:01:35",89376,3325.437,16.62719
"2023-06-01 19:01:40",89377,2608.015,13.04007
"2023-06-01 19:01:45",89378,2863.385,14.31693
"2023-06-01 19:01:50",89379,3081.808,15.40904
"2023-06-01 19:01:55",89380,3084.6,15.423
"2023-06-01 19:02:00",89381,2432.36,12.1618
"2023-06-01 19:02:05",89382,2766.751,13.83376
"2023-06-01 19:02:10",89383,2873.512,14.36756
"2023-06-01 19:02:15",89384,3210.527,16.05264
"2023-06-01 19:02:20",89385,3095.944,15.47972
"2023-06-01 19:02:25",89386,2683.671,13.41836
"2023-06-01 19:02:30",89387,2932.286,14.66143
"2023-06-01 19:02:35",89388,2774.516,13.87258
"2023-06-01 19:02:40",89389,3355.439,16.7772
"2023-06-01 19:02:45",89390,2585.54,12.9277
"2023-06-01 19:02:50",89391,2698.668,13.49334
"2023-06-01 19:02:55",89392,2535.396,12.67698
"2023-06-01 19:03:00",89393,2989.29,14.94645
"2023-06-01 19:03:05",89394,3113.323,15.56662
"2023-06-01 19:03:10",89395,3043.755,15.21878
