"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","Batt"
"TIMESTAMP","RECORD","BattV","PTemp"
"TS","RN","V","Deg_C"
"","","Smp","Smp"
"2023-05-28 05:02:00",424,12.24431,16.54205
"2023-05-28 05:04:00",425,12.24983,16.54163
"2023-05-28 05:06:00",426,12.24812,16.54706
"2023-05-28 05:08:00",427,12.26076,16.54453
"2023-05-28 05:10:00",428,12.24898,16.54712
"2023-05-28 05:12:00",429,12.25434,16.54242
"2023-05-28 05:14:00",430,12.23991,16.54373
"2023-05-28 05:16:00",431,12.25014,16.53891
"2023-05-28 05:18:00",432,12.25034,16.54028
"2023-05-28 05:20:00",433,12.25637,16.53528
"2023-05-28 05:22:00",434,12.24773,16.53702
"2023-05-28 05:24:00",435,12.24927,16.53247
"2023-05-28 05:26:00",436,12.243,16.53375
"2023-05-28 05:28:00",437,12.25564,16.52866
"2023-05-28 05:30:00",438,12.24566,16.52991
"2023-05-28 05:32:00",439,12.25408,16.5246
"2023-05-28 05:34:00",440,12.24083,16.52591
"2023-05-28 05:36:00",441,12.24742,16.52094
"2023-05-28 05:38:00",442,12.24429,16.52243
"2023-05-28 05:40:00",443,12.25257,16.5177
"2023-05-28 05:42:00",444,12.24151,16.51871
"2023-05-28 05:44:00",445,12.24342,16.51312
"2023-05-28 05:46:00",446,12.23029,16.51428
"2023-05-28 05:48:00",447,12.24774,16.50879
"2023-05-28 05:50:00",448,12.23678,16.50967
"2023-05-28 05:52:00",449,12.24589,16.50424
"2023-05-28 05:54:00",450,12.22975,16.50537
"2023-05-28 05:56:00",451,12.23799,16.50015
"2023-05-28 05:58:00",452,12.23034,16.50119
"2023-05-28 06:00:00",453,12.24215,16.49606
