"TOA5","11167","CR1000X","11167","CR1000X.Std.03.02","$*$#$#$*$$.$#$","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-26 14:18:33.55",101,0,0,0,0,0,0
"2023-05-26 14:18:33.6",102,0,0,0,0,0,0
"2023-05-26 14:18:33.65",103,0,0,0,0,0,0
"2023-05-26 14:18:33.7",104,0,0,0,0,0,0
"2023-05-26 14:18:33.75",105,0,0,0,0,0,0
"2023-05-26 14:18:33.8",106,0,0,0,0,0,0
"2023-05-26 14:18:33.85",107,0,0,0,0,0,0
"2023-05-26 14:18:33.9",108,0,0,0,0,0,0
"2023-05-26 14:18:33.95",109,0,0,0,0,0,0
"2023-05-26 14:18:34",110,0,0,0,0,0,0
"2023-05-26 14:18:34.05",111,0,0,0,0,0,0
"2023-05-26 14:18:34.1",112,0,0,0,0,0,0
"2023-05-26 14:18:34.15",113,0,0,0,0,0,0
"2023-05-26 14:18:34.2",114,0,0,0,0,0,0
"2023-05-26 14:18:34.25",115,0,0,0,0,0,0
"2023-05-26 14:18:34.3",116,0,0,0,0,0,0
"2023-05-26 14:18:34.35",117,0,0,0,0,0,0
"2023-05-26 14:18:34.4",118,0,0,0,0,0,0
"2023-05-26 14:18:34.45",119,0,0,0,0,0,0
"2023-05-26 14:18:34.5",120,0,0,0,0,0,0
"2023-05-26 14:18:34.55",121,0,0,0,0,0,0
"2023-05-26 14:18:34.6",122,0,0,0,0,0,0
"2023-05-26 14:18:34.65",123,0,0,0,0,0,0
"2023-05-26 14:18:34.7",124,0,0,0,0,0,0
"2023-05-26 14:18:34.75",125,0,0,0,0,0,0
"2023-05-26 14:18:34.8",126,0,0,0,0,0,0
"2023-05-26 14:18:34.85",127,0,0,0,0,0,0
"2023-05-26 14:18:34.9",128,0,0,0,0,0,0
"2023-05-26 14:18:34.95",129,0,0,0,0,0,0
"2023-05-26 14:18:35",130,0,0,0,0,0,0
"2023-05-26 14:18:35.05",131,0,0,0,0,0,0
"2023-05-26 14:18:35.1",132,0,0,0,0,0,0
"2023-05-26 14:18:35.15",133,0,0,0,0,0,0
"2023-05-26 14:18:35.2",134,0,0,0,0,0,0
"2023-05-26 14:18:35.25",135,0,0,0,0,0,0
"2023-05-26 14:18:35.3",136,0,0,0,0,0,0
"2023-05-26 14:18:35.35",137,0,0,0,0,0,0
"2023-05-26 14:18:35.4",138,0,0,0,0,0,0
"2023-05-26 14:18:35.45",139,0,0,0,0,0,0
"2023-05-26 14:18:35.5",140,0,0,0,0,0,0
"2023-05-26 14:18:35.55",141,0,0,0,0,0,0
"2023-05-26 14:18:35.6",142,0,0,0,0,0,0
"2023-05-26 14:18:35.65",143,0,0,0,0,0,0
