"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","EXO_data"
"TIMESTAMP","RECORD","Chlorophyll","nLFCond","Pressure","Turbidity","Temp","Cond","D_OX","Sal","TSS","VerticalPosition","Depth","D_OX2","SpCond","WiperPosition","BPower","fDOM","D_OX3","Phycoerythrin","pH","CablePower","fDOM2","ORP","TDS","pH2"
"TS","RN","RFU","microSimens/cm","psia","FNU","C","microSimens/cm","%Sat","PSU","mg/L","m","m","%Local","microSimens/cm","volt","volt","QSU","mg/L","RFU","pH","volt","RFU","mV","mg/L","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-27 15:02:00",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-27 15:04:00",5,-0.18,488.6,-0.1,0.29,15.94,398.4,89.4,0.23,0,-0.072,-0.072,92.4,481.8,1.2,0,0.06,8.82,-0.11,8.49,10.58,0.02,248.8,313.1,-85.2
"2023-05-27 15:06:00",6,-0.18,488.6,-0.1,0.29,15.94,398.4,89.4,0.23,0,-0.072,-0.072,92.4,481.8,1.2,0,0.06,8.82,-0.11,8.49,10.58,0.02,248.8,313.1,-85.2
"2023-05-27 15:08:00",7,-0.19,482.5,-0.27,0.38,15.95,393.5,89.4,0.23,0,-0.073,-0.189,92.4,475.8,1.2,0,-0.18,8.82,-0.13,8.48,10.58,-0.06,250.4,309.2,-84.7
"2023-05-27 15:10:00",8,-0.19,482.5,-0.27,0.38,15.95,393.5,89.4,0.23,0,-0.073,-0.189,92.4,475.8,1.2,0,-0.18,8.82,-0.13,8.48,10.58,-0.06,250.4,309.2,-84.7
"2023-05-27 15:12:00",9,-0.18,480.1,-0.33,0.41,15.95,391.6,89.4,0.23,0,-0.074,-0.234,92.4,473.4,1.2,0,-0.2,8.82,-0.13,8.48,10.56,-0.07,252.3,307.7,-84.5
"2023-05-27 15:14:00",10,-0.18,480.1,-0.33,0.41,15.95,391.6,89.4,0.23,0,-0.074,-0.234,92.4,473.4,1.2,0,-0.2,8.82,-0.13,8.48,10.56,-0.07,252.3,307.7,-84.5
"2023-05-27 15:16:00",11,-0.18,480.1,-0.36,0.41,15.96,391.6,89.4,0.23,0,-0.075,-0.251,92.4,473.3,1.21,0,-0.14,8.82,-0.12,8.47,10.57,-0.05,254,307.7,-84.3
"2023-05-27 15:18:00",12,-0.18,480.1,-0.36,0.41,15.96,391.6,89.4,0.23,0,-0.075,-0.251,92.4,473.3,1.21,0,-0.14,8.82,-0.12,8.47,10.57,-0.05,254,307.7,-84.3
"2023-05-27 15:20:00",13,-0.19,479.6,-0.37,0.4,15.97,391.3,89.4,0.23,0,-0.076,-0.257,92.4,472.9,1.2,0,-0.24,8.82,-0.13,8.47,10.54,-0.08,255.1,307.4,-84.3
"2023-05-27 15:22:00",14,-0.19,479.6,-0.37,0.4,15.97,391.3,89.4,0.23,0,-0.076,-0.257,92.4,472.9,1.2,0,-0.24,8.82,-0.13,8.47,10.54,-0.08,255.1,307.4,-84.3
"2023-05-27 15:24:00",15,-0.19,479.3,-0.36,0.38,15.98,391.2,89.5,0.23,0,-0.075,-0.256,92.5,472.6,1.2,0,-0.31,8.82,-0.13,8.47,10.55,-0.1,256,307.2,-84.2
"2023-05-27 15:26:00",16,-0.19,479.3,-0.36,0.38,15.98,391.2,89.5,0.23,0,-0.075,-0.256,92.5,472.6,1.2,0,-0.31,8.82,-0.13,8.47,10.55,-0.1,256,307.2,-84.2
"2023-05-27 15:28:00",17,-0.19,479.5,-0.37,0.41,16,391.5,89.5,0.23,0,-0.076,-0.26,92.5,472.8,1.19,0,-0.12,8.82,-0.12,8.47,10.54,-0.04,256.8,307.3,-84.2
"2023-05-27 15:30:00",18,-0.19,479.5,-0.37,0.41,16,391.5,89.5,0.23,0,-0.076,-0.26,92.5,472.8,1.19,0,-0.12,8.82,-0.12,8.47,10.54,-0.04,256.8,307.3,-84.2
"2023-05-27 15:32:00",19,-0.19,479.9,-0.37,0.43,16.01,392,89.5,0.23,0,-0.076,-0.261,92.5,473.2,1.19,0,-0.23,8.82,-0.13,8.47,10.54,-0.08,257.3,307.6,-84.2
"2023-05-27 15:34:00",20,-0.19,479.9,-0.37,0.43,16.01,392,89.5,0.23,0,-0.076,-0.261,92.5,473.2,1.19,0,-0.23,8.82,-0.13,8.47,10.54,-0.08,257.3,307.6,-84.2
"2023-05-27 15:36:00",21,-0.19,479.2,-0.37,0.41,16.03,391.6,89.5,0.23,0,-0.076,-0.262,92.5,472.5,1.2,0,-0.26,8.82,-0.13,8.47,10.55,-0.09,257.8,307.2,-84.2
"2023-05-27 15:38:00",22,-0.19,479.2,-0.37,0.41,16.03,391.6,89.5,0.23,0,-0.076,-0.262,92.5,472.5,1.2,0,-0.26,8.82,-0.13,8.47,10.55,-0.09,257.8,307.2,-84.2
"2023-05-27 15:40:00",23,-0.19,479.3,-0.37,0.41,16.05,391.8,89.6,0.23,0,-0.076,-0.261,92.6,472.6,1.2,0,-0.26,8.82,-0.13,8.47,10.55,-0.09,258,307.2,-84.1
"2023-05-27 15:42:00",24,-0.19,479.3,-0.37,0.41,16.05,391.8,89.6,0.23,0,-0.076,-0.261,92.6,472.6,1.2,0,-0.26,8.82,-0.13,8.47,10.55,-0.09,258,307.2,-84.1
"2023-05-27 15:44:00",25,-0.17,439.5,-0.37,1.07,16.05,359.4,89.6,0.21,0,-0.076,-0.264,92.6,433.4,1.2,0,-0.66,8.82,0.07,8.45,10.53,-0.22,259.8,281.7,-82.8
"2023-05-27 15:46:00",26,-0.17,439.5,-0.37,1.07,16.05,359.4,89.6,0.21,0,-0.076,-0.264,92.6,433.4,1.2,0,-0.66,8.82,0.07,8.45,10.53,-0.22,259.8,281.7,-82.8
"2023-05-27 15:48:00",27,-0.19,465.1,-0.37,0.77,16.11,380.8,89.7,0.22,0,-0.074,-0.261,92.7,458.7,1.2,0,-0.36,8.82,-0.07,8.46,10.53,-0.12,258.5,298.1,-83.7
"2023-05-27 15:50:00",28,-0.19,465.1,-0.37,0.77,16.11,380.8,89.7,0.22,0,-0.074,-0.261,92.7,458.7,1.2,0,-0.36,8.82,-0.07,8.46,10.53,-0.12,258.5,298.1,-83.7
"2023-05-27 15:52:00",29,-0.19,474,-0.37,0.62,16.13,388.3,89.7,0.23,0,-0.074,-0.26,92.8,467.5,1.2,0,-0.21,8.82,-0.1,8.47,10.52,-0.07,258.3,303.8,-83.9
"2023-05-27 15:54:00",30,-0.19,474,-0.37,0.62,16.13,388.3,89.7,0.23,0,-0.074,-0.26,92.8,467.5,1.2,0,-0.21,8.82,-0.1,8.47,10.52,-0.07,258.3,303.8,-83.9
"2023-05-27 15:56:00",31,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-05-27 15:58:00",32,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-05-27 16:00:00",33,-0.19,478.3,-0.37,0.6,16.16,392.1,89.8,0.23,0,-0.075,-0.261,92.8,471.7,1.2,0,-0.12,8.82,-0.15,8.47,10.52,-0.04,258.6,306.6,-83.9
