"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-27 09:00:00.05",2001,0,0,0,0,0,0
"2023-05-27 09:00:00.1",2002,0,0,0,0,0,0
"2023-05-27 09:00:00.15",2003,0,0,0,0,0,0
"2023-05-27 09:00:00.2",2004,0,0,0,0,0,0
"2023-05-27 09:00:00.25",2005,0,0,0,0,0,0
"2023-05-27 09:00:00.3",2006,0,0,0,0,0,0
"2023-05-27 09:00:00.35",2007,0,0,0,0,0,0
"2023-05-27 09:00:00.4",2008,0,0,0,0,0,0
"2023-05-27 09:00:00.45",2009,0,0,0,0,0,0
"2023-05-27 09:00:00.5",2010,0,0,0,0,0,0
"2023-05-27 09:00:00.55",2011,0,0,0,0,0,0
"2023-05-27 09:00:00.6",2012,0,0,0,0,0,0
"2023-05-27 09:00:00.65",2013,0,0,0,0,0,0
"2023-05-27 09:00:00.7",2014,0,0,0,0,0,0
"2023-05-27 09:00:00.75",2015,0,0,0,0,0,0
"2023-05-27 09:00:00.8",2016,0,0,0,0,0,0
"2023-05-27 09:00:00.85",2017,0,0,0,0,0,0
"2023-05-27 09:00:00.9",2018,0,0,0,0,0,0
"2023-05-27 09:00:00.95",2019,0,0,0,0,0,0
"2023-05-27 09:00:01",2020,0,0,0,0,0,0
"2023-05-27 09:00:01.05",2021,0,0,0,0,0,0
"2023-05-27 09:00:01.1",2022,0,0,0,0,0,0
"2023-05-27 09:00:01.15",2023,0,0,0,0,0,0
"2023-05-27 09:00:01.2",2024,0,0,0,0,0,0
"2023-05-27 09:00:01.25",2025,0,0,0,0,0,0
"2023-05-27 09:00:01.3",2026,0,0,0,0,0,0
"2023-05-27 09:00:01.35",2027,0,0,0,0,0,0
"2023-05-27 09:00:01.4",2028,0,0,0,0,0,0
"2023-05-27 09:00:01.45",2029,0,0,0,0,0,0
"2023-05-27 09:00:01.5",2030,0,0,0,0,0,0
"2023-05-27 09:00:01.55",2031,0,0,0,0,0,0
"2023-05-27 09:00:01.6",2032,0,0,0,0,0,0
"2023-05-27 09:00:01.65",2033,0,0,0,0,0,0
"2023-05-27 09:00:01.7",2034,0,0,0,0,0,0
"2023-05-27 09:00:01.75",2035,0,0,0,0,0,0
"2023-05-27 09:00:01.8",2036,0,0,0,0,0,0
"2023-05-27 09:00:01.85",2037,0,0,0,0,0,0
"2023-05-27 09:00:01.9",2038,0,0,0,0,0,0
"2023-05-27 09:00:01.95",2039,0,0,0,0,0,0
"2023-05-27 09:00:02",2040,0,0,0,0,0,0
"2023-05-27 09:00:02.05",2041,0,0,0,0,0,0
"2023-05-27 09:00:02.1",2042,0,0,0,0,0,0
"2023-05-27 09:00:02.15",2043,0,0,0,0,0,0
"2023-05-27 09:00:02.2",2044,0,0,0,0,0,0
"2023-05-27 09:00:02.25",2045,0,0,0,0,0,0
"2023-05-27 09:00:02.3",2046,0,0,0,0,0,0
"2023-05-27 09:00:02.35",2047,0,0,0,0,0,0
"2023-05-27 09:00:02.4",2048,0,0,0,0,0,0
"2023-05-27 09:00:02.45",2049,0,0,0,0,0,0
"2023-05-27 09:00:02.5",2050,0,0,0,0,0,0
"2023-05-27 09:00:02.55",2051,0,0,0,0,0,0
"2023-05-27 09:00:02.6",2052,0,0,0,0,0,0
"2023-05-27 09:00:02.65",2053,0,0,0,0,0,0
"2023-05-27 09:00:02.7",2054,0,0,0,0,0,0
"2023-05-27 09:00:02.75",2055,0,0,0,0,0,0
"2023-05-27 09:00:02.8",2056,0,0,0,0,0,0
"2023-05-27 09:00:02.85",2057,0,0,0,0,0,0
"2023-05-27 09:00:02.9",2058,0,0,0,0,0,0
"2023-05-27 09:00:02.95",2059,0,0,0,0,0,0
"2023-05-27 09:00:03",2060,0,0,0,0,0,0
"2023-05-27 09:00:03.05",2061,0,0,0,0,0,0
"2023-05-27 09:00:03.1",2062,0,0,0,0,0,0
"2023-05-27 09:00:03.15",2063,0,0,0,0,0,0
"2023-05-27 09:00:03.2",2064,0,0,0,0,0,0
"2023-05-27 09:00:03.25",2065,0,0,0,0,0,0
"2023-05-27 09:00:03.3",2066,0,0,0,0,0,0
"2023-05-27 09:00:03.35",2067,0,0,0,0,0,0
"2023-05-27 09:00:03.4",2068,0,0,0,0,0,0
"2023-05-27 09:00:03.45",2069,0,0,0,0,0,0
"2023-05-27 09:00:03.5",2070,0,0,0,0,0,0
"2023-05-27 09:00:03.55",2071,0,0,0,0,0,0
"2023-05-27 09:00:03.6",2072,0,0,0,0,0,0
"2023-05-27 09:00:03.65",2073,0,0,0,0,0,0
"2023-05-27 09:00:03.7",2074,0,0,0,0,0,0
"2023-05-27 09:00:03.75",2075,0,0,0,0,0,0
"2023-05-27 09:00:03.8",2076,0,0,0,0,0,0
"2023-05-27 09:00:03.85",2077,0,0,0,0,0,0
"2023-05-27 09:00:03.9",2078,0,0,0,0,0,0
"2023-05-27 09:00:03.95",2079,0,0,0,0,0,0
