"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","54307","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-27 11:26:18.1",0,0,0,0,0,0,0
"2023-05-27 11:26:18.15",1,-0.5,-0.01,-0.37,293.23,4,0
"2023-05-27 11:26:18.2",2,-0.4,0.01,-0.17,293.28,5,0
"2023-05-27 11:26:18.25",3,-0.3,0.13,-0.09,293.25,6,1
"2023-05-27 11:26:18.3",4,-0.24,0.06,-0.05,293.27,1,10
"2023-05-27 11:26:18.35",5,-0.21,-0.04,0,293.27,2,28
"2023-05-27 11:26:18.4",6,-0.22,-0.28,0.09,293.25,3,0
"2023-05-27 11:26:18.45",7,-0.13,-0.32,0.14,293.24,4,0
"2023-05-27 11:26:18.5",8,-0.03,-0.29,0.24,293.23,5,0
"2023-05-27 11:26:18.55",9,-0.08,-0.2,0.34,293.23,6,1
"2023-05-27 11:26:18.6",10,-0.13,-0.1,0.36,293.23,1,10
"2023-05-27 11:26:18.65",11,-0.22,-0.06,0.34,293.22,2,28
"2023-05-27 11:26:18.7",12,-0.16,0.12,0.31,293.23,3,0
"2023-05-27 11:26:18.75",13,-0.13,0.25,0.29,293.22,4,0
"2023-05-27 11:26:18.8",14,-0.09,0.38,0.28,293.23,5,0
"2023-05-27 11:26:18.85",15,-0.1,0.57,0.16,293.23,6,1
"2023-05-27 11:26:18.9",16,-0.04,0.71,0.15,293.22,1,10
"2023-05-27 11:26:18.95",17,-0.18,0.69,-0.05,293.2,2,28
"2023-05-27 11:26:19",18,-0.7,0.69,-0.42,293.15,3,0
"2023-05-27 11:26:19.05",19,-0.6,0.76,-0.51,293.15,4,0
"2023-05-27 11:26:19.1",20,-0.52,0.7,-0.53,293.17,5,0
"2023-05-27 11:26:19.15",21,-0.67,0.52,-0.53,293.17,6,1
"2023-05-27 11:26:19.2",22,-0.74,0.57,-0.43,293.2,1,10
"2023-05-27 11:26:19.25",23,-0.78,0.72,-0.27,293.24,2,28
"2023-05-27 11:26:19.3",24,-0.35,0.93,-0.16,293.28,3,0
"2023-05-27 11:26:19.35",25,0,0.71,-0.24,293.27,4,0
"2023-05-27 11:26:19.4",26,-0.09,0.58,-0.26,293.27,5,0
"2023-05-27 11:26:19.45",27,-0.27,0.32,-0.17,293.28,6,1
"2023-05-27 11:26:19.5",28,-0.44,0.08,-0.16,293.27,1,10
"2023-05-27 11:26:19.55",29,-0.28,-0.03,-0.08,293.27,2,28
"2023-05-27 11:26:19.6",30,-0.12,0.06,0,293.26,3,0
"2023-05-27 11:26:19.65",31,-0.04,0.14,0.06,293.24,4,0
"2023-05-27 11:26:19.7",32,0.04,0.16,0.09,293.24,5,0
"2023-05-27 11:26:19.75",33,0.07,0.26,0.01,293.23,6,1
"2023-05-27 11:26:19.8",34,0.22,0.35,-0.02,293.21,1,10
"2023-05-27 11:26:19.85",35,0.14,0.26,-0.23,293.21,2,28
"2023-05-27 11:26:19.9",36,0,0.16,-0.32,293.2,3,0
"2023-05-27 11:26:19.95",37,-0.07,0.16,-0.46,293.19,4,0
"2023-05-27 11:26:20",38,0.09,0.04,-0.5,293.2,5,0
"2023-05-27 11:26:20.05",39,0.32,0.05,-0.49,293.2,6,1
"2023-05-27 11:26:20.1",40,0.36,-0.1,-0.43,293.2,1,10
"2023-05-27 11:26:20.15",41,0.27,-0.18,-0.38,293.19,2,28
"2023-05-27 11:26:20.2",42,0.1,-0.14,-0.31,293.19,3,0
"2023-05-27 11:26:20.25",43,0,-0.06,-0.32,293.17,4,0
"2023-05-27 11:26:20.3",44,-0.26,0.01,-0.42,293.16,5,0
"2023-05-27 11:26:20.35",45,-0.43,0.06,-0.46,293.14,6,1
"2023-05-27 11:26:20.4",46,-0.42,-0.31,0.07,293.14,1,10
"2023-05-27 11:26:20.45",47,-0.16,-0.48,0.39,293.15,2,28
"2023-05-27 11:26:20.5",48,-0.09,-0.9,0.09,293.16,3,0
"2023-05-27 11:26:20.55",49,0.05,-1.05,-0.19,293.16,4,0
"2023-05-27 11:26:20.6",50,0.27,-1.13,-0.62,293.19,5,0
"2023-05-27 11:26:20.65",51,-0.44,-0.94,-0.71,293.16,6,1
"2023-05-27 11:26:20.7",52,-0.19,-1.38,-0.67,293.16,1,10
"2023-05-27 11:26:20.75",53,-0.14,-1.26,-0.62,293.13,2,28
"2023-05-27 11:26:20.8",54,0.06,-1.05,-0.55,293.15,3,0
"2023-05-27 11:26:20.85",55,0.22,-0.7,-0.55,293.14,4,0
"2023-05-27 11:26:20.9",56,-0.02,-0.49,-0.43,293.13,5,0
"2023-05-27 11:26:20.95",57,-0.02,-0.32,-0.47,293.12,6,1
"2023-05-27 11:26:21",58,-0.01,-0.22,-0.52,293.12,1,10
"2023-05-27 11:26:21.05",59,-0.03,-0.18,-0.39,293.13,2,28
"2023-05-27 11:26:21.1",60,-0.06,-0.06,-0.37,293.12,3,0
"2023-05-27 11:26:21.15",61,-0.06,-0.04,-0.33,293.12,4,0
