"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","EXO_data"
"TIMESTAMP","RECORD","Chlorophyll","nLFCond","Pressure","Turbidity","Temp","Cond","D_OX","Sal","TSS","VerticalPosition","Depth","D_OX2","SpCond","WiperPosition","BPower","fDOM","D_OX3","Phycoerythrin","pH","CablePower","fDOM2","ORP","TDS","pH2"
"TS","RN","RFU","microSimens/cm","psia","FNU","C","microSimens/cm","%Sat","PSU","mg/L","m","m","%Local","microSimens/cm","volt","volt","QSU","mg/L","RFU","pH","volt","RFU","mV","mg/L","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-29 09:02:00",1264,-0.18,496.4,-0.38,0.44,13.34,379.6,86.9,0.24,0,-0.086,-0.271,89.8,488.3,1.2,0,1.24,9.07,-0.15,8.53,10.48,0.41,239.4,317.4,-86.7
"2023-05-29 09:04:00",1265,-0.19,496.8,-0.38,0.44,13.38,380.3,86.9,0.24,0,-0.085,-0.271,89.8,488.8,1.2,0,1.25,9.07,-0.14,8.53,10.47,0.42,239.4,317.7,-86.7
"2023-05-29 09:06:00",1266,-0.19,496.8,-0.38,0.44,13.38,380.3,86.9,0.24,0,-0.085,-0.271,89.8,488.8,1.2,0,1.25,9.07,-0.14,8.53,10.47,0.42,239.4,317.7,-86.7
"2023-05-29 09:08:00",1267,-0.19,497.4,-0.38,0.46,13.4,381,87,0.24,0,-0.085,-0.271,89.9,489.4,1.19,0,1.29,9.07,-0.13,8.53,10.46,0.43,239.4,318.1,-86.7
"2023-05-29 09:10:00",1268,-0.19,497.4,-0.38,0.46,13.4,381,87,0.24,0,-0.085,-0.271,89.9,489.4,1.19,0,1.29,9.07,-0.13,8.53,10.46,0.43,239.4,318.1,-86.7
"2023-05-29 09:12:00",1269,-0.19,492.9,-0.38,0.43,13.44,377.8,87,0.24,0,-0.085,-0.271,90,485,1.2,0,1.16,9.07,-0.16,8.53,10.46,0.39,239.4,315.2,-86.7
"2023-05-29 09:14:00",1270,-0.19,492.9,-0.38,0.43,13.44,377.8,87,0.24,0,-0.085,-0.271,90,485,1.2,0,1.16,9.07,-0.16,8.53,10.46,0.39,239.4,315.2,-86.7
"2023-05-29 09:16:00",1271,-0.19,490.7,-0.38,0.45,13.47,376.4,87.1,0.23,0,-0.085,-0.271,90,482.8,1.2,0,1.13,9.07,-0.15,8.53,10.45,0.38,239.4,313.8,-86.7
"2023-05-29 09:18:00",1272,-0.19,490.7,-0.38,0.45,13.47,376.4,87.1,0.23,0,-0.085,-0.271,90,482.8,1.2,0,1.13,9.07,-0.15,8.53,10.45,0.38,239.4,313.8,-86.7
"2023-05-29 09:20:00",1273,-0.19,491.9,-0.38,0.43,13.5,377.7,87.2,0.23,0,-0.085,-0.271,90.1,484,1.2,0,1.17,9.07,-0.12,8.53,10.45,0.39,239.4,314.6,-86.7
"2023-05-29 09:22:00",1274,-0.19,491.9,-0.38,0.43,13.5,377.7,87.2,0.23,0,-0.085,-0.271,90.1,484,1.2,0,1.17,9.07,-0.12,8.53,10.45,0.39,239.4,314.6,-86.7
"2023-05-29 09:24:00",1275,-0.18,491.1,-0.38,0.42,13.54,377.4,87.2,0.23,0,-0.085,-0.271,90.2,483.2,1.2,0,1.23,9.07,-0.14,8.53,10.51,0.41,239.3,314.1,-86.7
"2023-05-29 09:26:00",1276,-0.18,491.1,-0.38,0.42,13.54,377.4,87.2,0.23,0,-0.085,-0.271,90.2,483.2,1.2,0,1.23,9.07,-0.14,8.53,10.51,0.41,239.3,314.1,-86.7
"2023-05-29 09:28:00",1277,-0.18,492.1,-0.38,0.43,13.57,378.5,87.3,0.24,0,-0.085,-0.271,90.2,484.2,1.2,0,1.14,9.07,-0.14,8.53,10.53,0.38,239.3,314.7,-86.6
"2023-05-29 09:30:00",1278,-0.18,492.1,-0.38,0.43,13.57,378.5,87.3,0.24,0,-0.085,-0.271,90.2,484.2,1.2,0,1.14,9.07,-0.14,8.53,10.53,0.38,239.3,314.7,-86.6
"2023-05-29 09:32:00",1279,-0.18,491.3,-0.38,0.42,13.61,378.2,87.4,0.23,0,-0.085,-0.27,90.3,483.4,1.2,0,1.11,9.07,-0.16,8.53,10.54,0.37,239.2,314.2,-86.6
"2023-05-29 09:34:00",1280,-0.18,491.3,-0.38,0.42,13.61,378.2,87.4,0.23,0,-0.085,-0.27,90.3,483.4,1.2,0,1.11,9.07,-0.16,8.53,10.54,0.37,239.2,314.2,-86.6
"2023-05-29 09:36:00",1281,-0.18,490.9,-0.38,0.44,13.65,378.3,87.4,0.23,0,-0.084,-0.27,90.4,483,1.2,0,1.09,9.07,-0.13,8.52,10.68,0.36,239,314,-86.5
"2023-05-29 09:38:00",1282,-0.18,490.9,-0.38,0.44,13.65,378.3,87.4,0.23,0,-0.084,-0.27,90.4,483,1.2,0,1.09,9.07,-0.13,8.52,10.68,0.36,239,314,-86.5
"2023-05-29 09:40:00",1283,-0.18,492,-0.38,0.44,13.7,379.6,87.5,0.24,0,-0.084,-0.269,90.5,484.1,1.2,0,1.2,9.07,-0.13,8.52,10.91,0.4,238.9,314.7,-86.5
"2023-05-29 09:42:00",1284,-0.18,492,-0.38,0.44,13.7,379.6,87.5,0.24,0,-0.084,-0.269,90.5,484.1,1.2,0,1.2,9.07,-0.13,8.52,10.91,0.4,238.9,314.7,-86.5
"2023-05-29 09:44:00",1285,-0.19,491.8,-0.38,0.44,13.74,379.9,87.6,0.23,0,-0.084,-0.27,90.5,484,1.2,0,1.16,9.06,-0.16,8.52,10.89,0.39,238.8,314.6,-86.5
"2023-05-29 09:46:00",1286,-0.19,491.8,-0.38,0.44,13.74,379.9,87.6,0.23,0,-0.084,-0.27,90.5,484,1.2,0,1.16,9.06,-0.16,8.52,10.89,0.39,238.8,314.6,-86.5
"2023-05-29 09:48:00",1287,-0.19,494.3,-0.38,0.42,13.79,382.2,87.7,0.24,0,-0.084,-0.269,90.6,486.4,1.21,0,1.22,9.07,-0.15,8.52,10.76,0.41,238.8,316.2,-86.5
"2023-05-29 09:50:00",1288,-0.19,494.3,-0.38,0.42,13.79,382.2,87.7,0.24,0,-0.084,-0.269,90.6,486.4,1.21,0,1.22,9.07,-0.15,8.52,10.76,0.41,238.8,316.2,-86.5
"2023-05-29 09:52:00",1289,-0.19,492.3,-0.38,0.43,13.83,381.1,87.8,0.24,0,-0.084,-0.27,90.7,484.5,1.2,0,1.23,9.07,-0.16,8.52,10.83,0.41,238.7,314.9,-86.6
"2023-05-29 09:54:00",1290,-0.19,492.3,-0.38,0.43,13.83,381.1,87.8,0.24,0,-0.084,-0.27,90.7,484.5,1.2,0,1.23,9.07,-0.16,8.52,10.83,0.41,238.7,314.9,-86.6
"2023-05-29 09:56:00",1291,-0.2,491.4,-0.38,0.44,13.86,380.7,87.8,0.23,0,-0.084,-0.27,90.8,483.5,1.2,0,1.22,9.07,-0.16,8.52,10.78,0.41,238.7,314.3,-86.6
"2023-05-29 09:58:00",1292,-0.2,491.4,-0.38,0.44,13.86,380.7,87.8,0.23,0,-0.084,-0.27,90.8,483.5,1.2,0,1.22,9.07,-0.16,8.52,10.78,0.41,238.7,314.3,-86.6
"2023-05-29 10:00:00",1293,-0.19,492.6,-0.38,0.48,13.9,382,87.9,0.24,0,-0.083,-0.269,90.9,484.7,1.19,0,1.24,9.07,-0.12,8.52,10.77,0.41,238.7,315.1,-86.6
